gene_id	gene_name	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N061011_untreated	N061011_dex
ENSG00000290825.1	DDX11L2	1	0	0	1	0	0	0	0
ENSG00000223972.6	DDX11L1	0	0	0	0	0	0	0	0
ENSG00000227232.5	WASH7P	10	6	14	9	13	10	17	21
ENSG00000278267.1	MIR6859-1	0	2	5	4	4	4	4	1
ENSG00000243485.5	MIR1302-2HG	3	0	0	0	0	0	0	0
ENSG00000284332.1	MIR1302-2	0	0	0	0	0	0	0	0
ENSG00000237613.2	FAM138A	1	0	0	0	0	0	0	0
ENSG00000268020.3	OR4G4P	0	0	0	0	0	0	0	0
ENSG00000290826.1	ENSG00000290826	0	0	0	0	0	0	0	0
ENSG00000240361.3	OR4G11P	0	0	0	0	0	0	0	0
ENSG00000186092.7	OR4F5	0	0	0	0	0	0	0	0
ENSG00000238009.6	ENSG00000238009	0	1	0	0	0	0	0	0
ENSG00000239945.1	ENSG00000239945	0	0	0	0	0	0	0	0
ENSG00000233750.3	CICP27	0	0	0	0	0	0	0	0
ENSG00000268903.1	ENSG00000268903	0	0	2	2	0	0	0	3
ENSG00000269981.1	ENSG00000269981	0	0	3	2	0	0	1	0
ENSG00000239906.1	ENSG00000239906	0	0	0	0	0	0	0	0
ENSG00000241860.7	ENSG00000241860	3	4	7	2	1	0	5	2
ENSG00000222623.1	RNU6-1100P	0	0	0	0	0	0	0	0
ENSG00000241599.1	ENSG00000241599	0	0	0	0	0	0	0	0
ENSG00000279928.2	DDX11L17	1	1	0	1	1	1	0	0
ENSG00000279457.4	WASH9P	35	38	57	24	55	74	37	23
ENSG00000273874.1	MIR6859-2	1	0	0	0	0	0	0	1
ENSG00000228463.10	ENSG00000228463	6	7	3	0	11	12	5	2
ENSG00000286448.1	ENSG00000286448	0	0	0	0	0	0	0	0
ENSG00000236679.2	RPL23AP24	0	0	0	0	0	0	0	0
ENSG00000236601.2	ENSG00000236601	0	0	0	0	0	0	0	0
ENSG00000290385.1	ENSG00000290385	2	2	18	6	8	4	5	3
ENSG00000269732.1	WBP1LP7	0	0	0	0	0	0	0	0
ENSG00000284733.2	OR4F29	0	0	0	0	0	0	0	0
ENSG00000237094.13	ENSG00000237094	0	0	0	0	0	0	0	0
ENSG00000233653.3	CICP7	0	0	0	0	0	0	0	0
ENSG00000250575.1	ENSG00000250575	0	0	0	0	0	0	0	0
ENSG00000278757.1	U6	0	0	0	0	0	0	0	0
ENSG00000230021.10	ENSG00000230021	5	2	4	0	3	0	0	1
ENSG00000235146.2	ENSG00000235146	0	0	0	0	0	0	0	0
ENSG00000225972.1	MTND1P23	5	1	0	2	3	4	0	0
ENSG00000225630.1	MTND2P28	761	738	875	630	996	1217	527	667
ENSG00000237973.1	MTCO1P12	1084	1243	1030	836	1398	1667	934	1001
ENSG00000278791.1	ENSG00000278791	0	0	0	0	0	0	0	0
ENSG00000229344.1	MTCO2P12	2	6	12	6	14	15	0	1
ENSG00000240409.1	MTATP8P1	1	0	1	1	6	4	1	0
ENSG00000248527.1	MTATP6P1	4400	4614	5961	3960	5450	5945	3678	3984
ENSG00000198744.5	MTCO3P12	7	8	12	5	2	16	2	7
ENSG00000268663.1	WBP1LP6	0	0	0	0	0	0	0	0
ENSG00000284662.2	OR4F16	0	0	0	0	0	0	0	0
ENSG00000229376.3	CICP3	1	1	0	0	4	1	0	0
ENSG00000291215.1	ENSG00000291215	26	27	39	17	22	32	28	10
ENSG00000223181.1	RNU6-1199P	0	0	0	0	0	0	0	0
ENSG00000229905.1	ENSG00000229905	0	0	0	0	0	0	0	0
ENSG00000228327.6	ENSG00000228327	0	0	0	0	0	0	0	0
ENSG00000237491.10	LINC01409	13	13	27	9	27	23	9	4
ENSG00000285268.1	ENSG00000285268	0	0	0	0	0	0	0	0
ENSG00000290784.1	ENSG00000290784	1	1	1	0	0	1	2	1
ENSG00000230092.8	ENSG00000230092	0	0	0	0	0	0	0	0
ENSG00000177757.2	FAM87B	2	4	8	1	6	5	3	3
ENSG00000225880.6	LINC00115	20	18	21	17	22	30	23	18
ENSG00000228794.12	LINC01128	229	258	249	171	236	385	251	349
ENSG00000288531.1	ENSG00000288531	0	0	0	1	0	4	1	3
ENSG00000230368.2	FAM41C	0	0	0	0	0	0	1	1
ENSG00000234711.1	TUBB8P11	0	1	0	0	0	0	0	0
ENSG00000283040.1	ENSG00000283040	0	0	0	0	0	0	0	0
ENSG00000272438.1	ENSG00000272438	0	0	2	0	0	0	2	0
ENSG00000230699.2	ENSG00000230699	4	0	8	1	5	4	4	2
ENSG00000241180.1	ENSG00000241180	0	0	0	0	0	0	0	0
ENSG00000223764.2	LINC02593	30	15	49	2	36	16	54	14
ENSG00000187634.13	SAMD11	148	78	119	6	123	47	66	24
ENSG00000188976.11	NOC2L	988	1127	1082	566	1122	1598	721	827
ENSG00000187961.15	KLHL17	225	245	185	75	290	313	156	195
ENSG00000187583.11	PLEKHN1	19	9	14	6	18	19	10	14
ENSG00000187642.10	PERM1	1	0	3	0	10	4	1	2
ENSG00000272512.1	ENSG00000272512	0	2	0	2	0	3	0	0
ENSG00000188290.11	HES4	16	29	8	4	4	15	3	11
ENSG00000187608.10	ISG15	317	235	215	90	199	228	142	174
ENSG00000231702.2	ENSG00000231702	0	0	0	0	0	0	0	0
ENSG00000224969.1	ENSG00000224969	0	0	1	0	1	2	1	1
ENSG00000188157.15	AGRN	2358	1800	2270	983	2621	3186	1607	1471
ENSG00000242590.1	ENSG00000242590	0	0	0	0	0	0	0	0
ENSG00000291156.1	ENSG00000291156	0	3	1	0	1	1	0	1
ENSG00000273443.1	ENSG00000273443	0	0	0	0	0	1	0	0
ENSG00000217801.13	ENSG00000217801	0	1	0	0	0	0	2	0
ENSG00000237330.3	RNF223	0	0	0	0	0	0	0	0
ENSG00000131591.18	C1orf159	111	110	137	64	151	196	127	121
ENSG00000285812.1	ENSG00000285812	1	2	1	3	8	3	2	2
ENSG00000223823.1	LINC01342	0	0	0	0	0	0	0	0
ENSG00000207730.3	MIR200B	0	0	0	0	0	0	0	0
ENSG00000207607.3	MIR200A	0	0	0	0	0	0	0	0
ENSG00000198976.1	MIR429	0	0	0	0	0	0	0	0
ENSG00000272141.1	ENSG00000272141	0	1	0	0	0	0	0	0
ENSG00000205231.1	TTLL10-AS1	0	0	0	0	0	0	0	0
ENSG00000162571.14	TTLL10	0	0	0	0	0	0	0	0
ENSG00000186891.14	TNFRSF18	1	0	1	0	4	7	0	0
ENSG00000186827.12	TNFRSF4	4	0	1	0	2	1	1	2
